 time            i(Vmeas)        v(Vout)        
 3.48991916e-07  1.00000000e-05  1.77093887e+00 
 3.49515132e-07  1.00000000e-05  3.61683770e-02 
 3.49786001e-07  1.00000000e-05 -1.87596218e-02 
 3.49995160e-07  1.00000000e-05  1.70470576e-02 
 3.50155025e-07  1.00000000e-05 -1.37359134e-02 
 3.50346894e-07  1.00000000e-05  1.28431105e-02 
 3.50530451e-07  1.00000000e-05 -1.17695342e-02 
 3.50897564e-07  1.00000000e-05  1.15050863e-02 
 3.51265001e-07  1.00000000e-05 -1.10600878e-02 
 3.51999876e-07  1.00000000e-05  1.09789799e-02 
 3.52999876e-07  1.00000000e-05 -1.07809296e-02 
 3.53999876e-07  1.00000000e-05  1.07406072e-02 
 3.54999876e-07  1.00000000e-05 -1.05542394e-02 
 3.55999876e-07  1.00000000e-05  1.05119121e-02 
 3.56999876e-07  1.00000000e-05 -1.03352772e-02 
 3.57999876e-07  1.00000000e-05  1.02915006e-02 
 3.58999876e-07  1.00000000e-05 -1.01231222e-02 
 3.59999876e-07  1.00000000e-05  1.00782964e-02 
 3.60999876e-07  1.00000000e-05 -9.91704540e-03 
 3.61999876e-07  1.00000000e-05  9.87146936e-03 
 3.62999876e-07  1.00000000e-05 -9.71647579e-03 
 3.63999876e-07  1.00000000e-05  9.67037502e-03 
 3.64999876e-07  1.00000000e-05 -9.52096260e-03 
 3.65999876e-07  1.00000000e-05  9.47450902e-03 
 3.66999876e-07  1.00000000e-05 -9.33014697e-03 
 3.67999876e-07  1.00000000e-05  9.28347463e-03 
 3.68999876e-07  1.00000000e-05 -9.14378244e-03 
 3.69999876e-07  1.00000000e-05  9.09693355e-03 
 3.70999876e-07  1.00000000e-05 -8.92957814e-03 
 3.71999876e-07  1.00000000e-05  8.89157569e-03 
 3.72999876e-07  1.00000000e-05  1.68824198e+00 
 3.73842171e-07  1.00000000e-05  1.88306473e+00 
 3.74646794e-07  1.00000000e-05  1.71078939e+00 
 3.75384381e-07  1.00000000e-05  1.86825942e+00 
 3.75851469e-07  1.00000000e-05  1.31789284e-02 
 3.76196335e-07  1.00000000e-05 -6.10424926e-03 
 3.76531566e-07  1.00000000e-05  5.13289657e-03 
 3.76629155e-07  1.00000000e-05 -2.69709536e-03 
 3.76804459e-07  1.00000000e-05  2.39906700e-03 
 3.76986800e-07  1.00000000e-05 -2.19439910e-03 
 3.77351482e-07  1.00000000e-05  2.12331127e-03 
 3.77790923e-07  1.00000000e-05 -2.06189748e-03 
 3.78638234e-07  1.00000000e-05  2.03724240e-03 
 3.79638234e-07  1.00000000e-05 -2.01104023e-03 
 3.80638234e-07  1.00000000e-05  1.99297998e-03 
 3.81638234e-07  1.00000000e-05 -1.96692731e-03 
 3.82638234e-07  1.00000000e-05  1.95120746e-03 
 3.83638234e-07  1.00000000e-05 -1.92482421e-03 
 3.84638234e-07  1.00000000e-05  1.90682062e-03 
 3.85638234e-07  1.00000000e-05 -1.88448169e-03 
 3.86638234e-07  1.00000000e-05  1.86704162e-03 
 3.87638234e-07  1.00000000e-05 -1.84559534e-03 
 3.88638234e-07  1.00000000e-05  1.82865123e-03 
 3.89638234e-07  1.00000000e-05 -1.80797540e-03 
 3.90638234e-07  1.00000000e-05  1.79147452e-03 
 3.91638234e-07  1.00000000e-05 -1.77147515e-03 
 3.92638234e-07  1.00000000e-05  1.75537609e-03 
 3.93638234e-07  1.00000000e-05 -1.73598085e-03 
 3.94638234e-07  1.00000000e-05  1.72024854e-03 
 3.95638234e-07  1.00000000e-05 -1.70143455e-03 
 3.96638234e-07  1.00000000e-05  1.69547828e-03 
 3.97409052e-07  1.00000000e-05 -1.64616662e-03 
 3.98226882e-07  1.00000000e-05  1.66704247e+00 
 3.98988150e-07  1.00000000e-05  1.83166925e+00 
 3.99700534e-07  1.00000000e-05  1.76932114e+00 
 4.00489108e-07  1.00000000e-05  1.82639552e+00 
 4.01206655e-07  1.00000000e-05  1.77472171e+00 
 4.01727758e-07  1.00000000e-05  1.83636192e+00 
 4.02143431e-07  1.00000000e-05  1.35677523e-02 
 4.02411816e-07  1.00000000e-05 -1.17051067e-02 
 4.02522022e-07  1.00000000e-05  1.01424235e-02 
 4.02680009e-07  1.00000000e-05 -9.28102338e-03 
 4.02915363e-07  1.00000000e-05  8.91371457e-03 
 4.03175446e-07  1.00000000e-05 -8.50773035e-03 
 4.03620430e-07  1.00000000e-05  8.35339752e-03 
 4.04182419e-07  1.00000000e-05 -8.16203414e-03 
 4.05182419e-07  1.00000000e-05  8.11656509e-03 
 4.06182419e-07  1.00000000e-05 -7.99729026e-03 
 4.07182419e-07  1.00000000e-05  7.95187224e-03 
 4.08182419e-07  1.00000000e-05 -7.83667302e-03 
 4.09182419e-07  1.00000000e-05  7.79137625e-03 
 4.10182419e-07  1.00000000e-05 -7.67989794e-03 
 4.11182419e-07  1.00000000e-05  7.63478559e-03 
 4.12182419e-07  1.00000000e-05 -7.52672996e-03 
 4.13182419e-07  1.00000000e-05  7.48185104e-03 
 4.14182419e-07  1.00000000e-05 -7.37697713e-03 
 4.15182419e-07  1.00000000e-05  7.33237026e-03 
 4.16182419e-07  1.00000000e-05 -7.23048042e-03 
 4.17182419e-07  1.00000000e-05  7.18617657e-03 
